Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Purpose,Source,Source_def
1999,III,Psittacula krameri,Aves,Psittaciformes,Psittacidae,Psittacula,SG,PK,,,2000,live,Commercial,W,Taken from wild
2000,III,Psittacula krameri,Aves,Psittaciformes,Psittacidae,Psittacula,SG,PK,,,400,live,Commercial,W,Taken from wild
2001,III,Psittacula krameri,Aves,Psittaciformes,Psittacidae,Psittacula,SG,PK,,,500,live,Commercial,W,Taken from wild
2002,III,Psittacula krameri,Aves,Psittaciformes,Psittacidae,Psittacula,SG,PK,,,1000,live,Commercial,W,Taken from wild
2003,III,Psittacula krameri,Aves,Psittaciformes,Psittacidae,Psittacula,SG,GN,,,20,live,Commercial,W,Taken from wild
2003,III,Psittacula krameri,Aves,Psittaciformes,Psittacidae,Psittacula,SG,PK,,,1200,live,Commercial,W,Taken from wild
1990,II,Cacatua goffiniana,Aves,Psittaciformes,Cacatuidae,Cacatua,SG,MY,ID,,395,live,Commercial,W,Taken from wild
1991,II,Cacatua goffiniana,Aves,Psittaciformes,Cacatuidae,Cacatua,SG,ID,,,1500,live,Commercial,W,Taken from wild
1991,II,Cacatua goffiniana,Aves,Psittaciformes,Cacatuidae,Cacatua,SG,MY,ID,,210,live,Commercial,W,Taken from wild
1995,III,Psittacula krameri,Aves,Psittaciformes,Psittacidae,Psittacula,SG,US,SG,,12,specimens,Not defined,W,Taken from wild
2012,II,Myiopsitta monachus,Aves,Psittaciformes,Psittacidae,Myiopsitta,SG,HK,XX,1,1,live,Personal,U,Unknown
2005,II,Myiopsitta monachus,Aves,Psittaciformes,Psittacidae,Myiopsitta,SG,ES,UY,180,,live,Commercial,R,Ranched specimens (eggs from wild)
2005,II,Myiopsitta monachus,Aves,Psittaciformes,Psittacidae,Myiopsitta,SG,UY,,800,,live,Commercial,R,Ranched specimens (eggs from wild)
2017,II,Myiopsitta monachus,Aves,Psittaciformes,Psittacidae,Myiopsitta,SG,US,,10,,live,Personal,F,Born in captivity
